TimeStamp,TravelTime,MAC
1683154921,249,90:f1:57:8a:07:1f
1683154929,242,7e:20:7f:92:c3:d9
1683154961,319,00:25:52:ed:90:06
1683154967,288,3c:68:16:01:ca:08
1683154966,328,00:25:52:ee:36:dc
1683154980,331,90:f1:57:44:d5:5c
1683154949,292,cc:78:ab:76:3d:f1
1683154955,294,3c:68:16:04:43:2a
1683154989,316,00:25:52:ed:f9:0b
1683154961,331,00:1f:ff:96:1b:eb
1683154966,329,ee:bd:67:66:0b:f6
1683154971,250,73:2e:48:76:5e:86
1683154971,250,4f:b6:bb:8e:71:6c
1683154972,251,72:0d:0c:4c:1b:c0
1683154973,252,51:e3:00:f2:8d:43
1683154981,326,00:1f:ff:89:69:79
1683154973,252,17:02:a7:67:9f:a5
1683154983,323,c0:e7:9e:23:4f:cf
1683154979,234,55:cf:b6:60:23:10
1683154977,234,79:b3:0b:96:69:f5
1683154979,235,98:04:ed:a7:f1:bf
1683154982,320,48:b0:2d:24:cc:a9
1683154981,319,84:25:3f:89:34:0d
1683156552,2583,b4:c2:6a:64:df:82
1683154985,237,59:ca:60:fd:45:fb
1683154986,240,36:d0:c9:a2:b1:e5
1683155006,283,48:df:54:5e:62:e4
1683155007,286,06:b9:9f:c5:88:90
1683155002,240,45:5a:31:71:57:e8
1683155006,240,51:8e:fc:bd:40:e0
1683155006,241,6f:9c:8f:48:cf:12
1683155045,282,3c:68:16:0b:ab:99
1683155024,291,3c:68:16:35:71:1b
1683155032,255,0a:d6:47:2c:cc:f8
1683155033,286,26:d4:40:f2:d6:84
1683155043,300,40:ad:37:31:70:86
1683155035,295,6d:1c:2a:1e:20:22
1683155032,234,7c:db:41:71:60:c0
1683155033,234,08:81:00:fa:fa:da
1683155042,290,b6:7b:0a:04:01:c0
1683155056,241,1a:7d:a6:eb:b1:d2
1683155051,248,48:32:e2:4c:c8:f5
1683155046,279,43:ba:5e:6a:62:fe
1683155052,245,8c:85:90:c8:11:28
1683155049,284,d9:a7:0a:4e:86:ac
1683155051,250,29:79:76:3d:1a:c5
1683155052,245,79:24:d4:25:9f:bd
1683155055,246,12:9f:90:4f:e2:9b
1683155072,291,41:a7:c6:6c:d5:0b
1683155059,239,77:22:90:32:4f:6e
1683155059,681,50:18:99:51:e9:0b
1683155066,303,48:b0:2d:0c:5a:18
1683155073,310,3c:68:16:02:94:cf
1683155060,241,59:1b:58:d2:76:3f
1683155064,275,4a:93:66:de:2d:0f
1683155093,310,66:97:05:c8:a6:7a
1683155065,276,5d:59:bd:fa:4d:52
1683155066,262,46:e5:89:fd:55:5c
1683155066,262,79:89:ca:58:ae:e2
1683155083,255,5f:f8:90:89:45:dc
1683155092,306,37:27:13:f7:e0:29
1683155073,295,90:e8:68:5f:fc:b4
1683155076,248,30:d8:de:6a:ce:81
1683155077,249,43:49:af:fc:92:e4
1683155077,295,4e:f7:82:e5:f6:12
1683155085,305,40:2e:71:2c:75:11
1683155089,306,4b:ce:10:64:a5:e7
1683155089,305,74:ad:f8:9e:12:36
1683155113,265,03:de:32:24:3e:18
1683155113,265,77:73:d8:93:e9:ff
1683155123,257,46:b4:21:7e:2c:7c
1683155119,260,40:a8:92:29:09:b2
1683155119,255,0a:a7:b1:71:ea:53
1683155119,257,67:de:99:e3:74:69
1683155123,261,29:e0:33:3a:39:ad
1683155141,230,71:45:ef:f4:7d:bb
1683155139,244,53:b4:30:85:93:a5
1683155139,243,27:f6:c6:97:6f:30
1683155140,243,68:62:bf:00:3d:3f
1683155145,250,4f:8c:a1:a0:b4:96
1683155145,250,5d:fd:21:eb:c3:36
1683155146,1085,f7:d1:20:dc:59:be
1683155146,284,66:fa:54:b7:31:c6
1683155146,251,4b:7c:04:eb:f1:07
1683155170,234,4b:ff:4b:45:ab:bb
1683155173,234,5b:a9:b3:3b:7a:9f
1683155195,280,6c:77:48:f3:33:9a
1683155195,244,58:25:73:72:fe:92
1683155196,245,4b:c0:df:7c:58:60
1683155209,273,78:67:a7:1d:2f:21
1683155200,223,76:84:2c:b0:4c:60
1683155212,261,e8:31:cd:57:ac:02
1683155251,267,55:c2:c0:94:25:90
1683155255,222,27:0b:20:60:81:54
1683155251,263,37:59:7d:ef:27:c6
1683155251,263,67:3a:ab:5f:29:0b
1683155253,221,f7:6b:38:56:b0:d3
1683155254,221,53:53:1e:fd:55:8c
