TimeStamp,TravelTime,MAC
1683155069,300,2c:41:a1:95:aa:f9
1683155057,275,5f:74:d4:09:04:90
1683155068,299,72:ac:25:14:60:55
1683155066,297,c5:e2:2b:09:f0:eb
1683155059,279,70:57:73:81:6e:68
1683155042,260,76:cd:40:ea:57:23
1683155078,262,76:2c:e5:04:31:b7
1683155060,240,5a:f0:24:7c:c2:48
1683155171,312,00:25:52:d9:65:a2
1683155097,254,0d:21:9b:83:9f:ee
1683155096,252,0f:97:5b:67:a4:9f
1683155111,260,47:98:77:66:43:53
1683155111,252,7e:78:dc:df:cd:62
1683155170,316,43:0f:f2:e9:dd:60
1683155170,316,04:b3:00:03:b4:bb
1683155171,317,52:8f:a2:1c:cf:ec
1683155157,301,3c:68:16:0a:b0:04
1683155111,241,41:5f:5c:f9:96:fb
1683155111,242,66:72:ba:bf:87:cd
1683155189,300,5d:fc:e7:55:ae:00
1683155134,245,58:3c:28:c1:b4:30
1683155136,246,43:32:09:78:90:3f
1683155189,288,00:25:52:d9:88:76
1683155134,248,1c:22:80:02:aa:00
1683155136,246,4e:1b:67:34:ac:4c
1683155189,290,6d:21:ef:db:08:64
1683155161,268,74:67:b6:2c:ef:a6
1683155136,224,59:f0:5b:e7:31:33
1683155135,223,68:eb:33:4c:cc:b0
1683155133,221,49:d8:0c:da:a1:67
1683155136,224,7a:b8:85:9c:b3:0e
1683155222,283,2e:87:d2:84:5c:99
1683155136,223,44:e6:e3:2c:b5:7d
1683155222,283,41:e2:20:b1:f7:70
1683155200,264,3a:74:3d:78:81:3e
1683155200,260,77:58:29:60:a5:68
1683155200,259,44:84:3e:e6:15:30
1683155200,261,66:ce:29:a1:47:b0
1683155200,263,74:f9:8f:cf:3b:9e
1683155200,261,2e:a1:a7:fe:ed:00
1683155281,312,3c:68:16:32:ec:fa
1683155200,261,5b:dd:ab:8b:86:6c
1683155221,282,51:02:a7:bf:6c:02
1683155249,290,64:e7:c9:a5:ec:13
1683155249,296,00:25:ca:52:37:8a
1683155270,300,00:80:e1:26:5e:39
1683155265,295,cc:f9:57:00:42:d8
1683155236,264,6c:e8:73:ec:91:7a
1683155232,253,71:e0:da:91:2e:44
1683155298,268,5c:1a:6c:83:aa:d9
1683155286,256,4d:e6:4f:3a:f5:bc
1683155341,287,f0:99:19:e2:ff:c3
1683155283,253,77:82:7c:95:b3:05
1683155323,278,7b:3b:6c:de:0b:7f
1683155323,277,35:37:1f:4d:eb:d0
1683155342,263,08:b6:60:f3:a6:d3
1683155341,262,59:b9:ee:8d:6f:ef
1683155326,250,41:61:2a:cd:74:a2
1683155326,247,6c:63:b5:d9:b5:22
1683155341,262,5e:bd:11:3c:38:c1
1683155337,260,8c:55:4a:ab:45:fe
1683155326,249,3c:e4:b0:ba:c2:34
1683155341,261,39:ac:eb:35:3a:9f
1683155349,270,57:e4:10:5b:e3:74
1683155360,251,7f:f6:b3:6f:8e:61
1683155392,296,66:6b:df:78:fa:1b
1683155393,294,7b:25:0f:8c:c4:a0
1683155377,276,ac:4d:16:92:1a:62
1683155376,274,68:27:c3:c0:db:d7
1683155376,274,6b:9b:da:cf:74:c7
1683155382,262,42:d0:c7:63:a4:00
1683155398,267,70:3b:47:71:82:71
1683155378,260,e4:5e:37:05:b5:cb
1683155378,257,7b:5f:c5:fd:a8:a1
1683155426,298,90:f1:57:f4:5a:70
1683155398,269,14:01:52:53:3b:b2
1683155428,269,23:87:d5:29:c7:a1
1683155428,269,48:48:ad:3b:6e:2f
1683155488,319,4e:93:d1:24:6e:8c
1683155483,314,48:e7:da:00:f4:10
1683155413,247,40:8c:77:24:bd:99
1683155467,289,49:a0:e1:97:c0:24
1683155422,242,46:7d:14:53:fb:86
1683155551,305,18:80:9a:09:56:d2
1683155556,296,46:d9:6f:86:f8:b0
1683156281,1028,73:94:10:8a:43:3f
1683155537,286,00:25:ca:46:98:0a
1683155557,297,a4:9f:89:a9:90:19
1683155536,267,1f:24:35:c8:9f:8e
1683155556,296,ee:29:36:cd:c4:03
1683155521,256,15:db:e6:e6:ed:36
1683155533,264,4a:81:4a:81:79:5a
1683155566,293,34:81:f4:c5:a4:d2
1683155567,292,1c:75:7a:f6:8f:f7
1683155550,269,dc:0d:30:d6:60:5d
1683155606,323,00:25:ca:57:18:40
1683155558,258,23:38:66:34:e6:6e
1683155557,257,78:03:3e:b3:6a:51
1683155606,314,b0:38:29:b1:ad:9c
1683155548,254,7d:48:95:10:ac:6f
1683155560,246,74:68:37:e0:32:b6
1683155560,246,65:36:c1:97:52:f9
1683155561,246,31:5b:c2:7d:d6:43
1683155620,291,45:8b:4e:23:b0:47
1683155605,262,04:98:07:2a:bd:de
1683155632,301,ee:70:43:3b:c6:63
1683155605,272,90:fd:9f:7d:fb:d1
1683155607,274,6a:84:a8:e7:54:c8
1683155605,272,6e:c0:74:ae:a4:b6
1683155605,272,6b:26:e5:5a:f0:28
1683155631,300,ef:ee:37:50:0e:bf
1683155589,250,16:62:02:d5:7f:79
1683155589,250,44:db:52:33:ba:d9
1683155599,260,7f:33:5e:9e:e0:69
1683155599,260,58:48:9c:4d:e6:96
1683155607,256,71:44:5d:de:3b:42
1683155680,296,7e:3e:93:b8:34:ee
1683155693,315,00:25:ca:5f:69:32
1683155636,243,44:55:99:bc:f9:6f
1683155637,245,57:c1:7c:94:9c:65
1683155646,227,88:c6:26:bc:0d:c1
1683155647,234,50:d6:bc:ef:3e:c6
1683155643,230,46:fa:e7:f4:70:1f
1683155638,224,13:7e:70:74:b9:86
1683155638,224,7b:ce:dc:34:d8:1c
1683155639,225,54:e0:49:3f:3d:5f
1683155638,224,2a:5e:48:7d:f1:83
1683155638,223,44:c3:a4:75:26:c6
1683155687,258,48:c7:7a:16:97:94
1683155687,258,4c:40:e0:9b:f6:ce
1683155697,268,62:da:fa:0f:dc:a5
1683155699,270,13:af:da:e3:ad:d8
1683155698,269,4c:44:10:b9:6d:d2
1683155694,262,7d:da:d6:c4:8f:e8
1683155670,235,70:f2:05:4e:89:d3
1683155670,230,65:84:0c:8a:76:d2
1683155670,234,23:16:ed:7b:0c:cd
1683155670,230,6c:f7:10:2f:dc:06
1683155741,287,71:e3:04:23:09:e5
1683155733,282,14:13:0b:2d:12:67
1683155733,281,00:25:ca:57:67:0c
1683155714,251,46:56:77:89:21:6f
1683155782,293,00:05:4f:d8:52:71
1683155786,297,3c:68:16:03:98:79
1683155701,227,61:35:07:49:0b:1b
1683155729,255,3d:42:99:f0:05:1f
1683155702,223,48:e4:44:1c:ee:0f
1683155729,255,50:f0:a9:d9:cf:4d
1683155729,250,68:9a:78:51:d6:3e
1683155700,226,76:49:53:4a:04:dd
1683155783,301,2e:12:40:31:90:84
1683155784,302,7a:84:d0:1b:23:a5
1683155784,302,23:af:c3:81:39:89
1683155783,301,79:cd:12:77:2e:d2
1683155783,301,47:13:de:d2:f4:dd
1683155761,267,40:37:e1:02:cb:11
1683155759,265,08:2e:e9:0d:6b:67
1683155760,266,54:2e:13:6a:59:ad
1683155760,265,6f:a9:54:79:c4:14
1683155785,275,00:25:52:fc:3d:33
1683155839,321,d4:ca:6e:78:7b:69
1683155818,294,7b:81:36:09:c7:75
1683155906,284,00:1e:c0:7c:78:a2
1683155831,261,00:0a:08:cc:d5:70
1683155820,240,04:52:c7:7f:4f:96
1683155820,241,29:82:a2:c9:72:2c
1683155820,240,77:23:6b:f0:6c:0f
1683155899,300,28:93:44:88:26:e6
1683155845,250,60:64:b1:83:b8:d8
1683155919,315,90:f1:57:60:38:03
1683155900,302,d6:37:32:31:70:27
1683155921,306,4e:5c:1e:6c:d5:07
1683155848,244,2f:5c:8b:f4:e3:ca
1683155905,301,41:42:d2:14:3b:7f
1683155859,229,6f:70:fb:47:9a:a2
1683155860,228,19:18:70:61:bc:c4
1683155840,214,45:7d:ef:8e:13:97
1683155930,293,00:25:ca:7b:67:5c
1683156013,356,b4:c2:6a:44:5b:e5
1683156016,356,3c:68:16:33:c4:5a
1683156013,354,7c:db:a9:b8:3f:0f
1683156016,357,79:0b:06:5b:1c:0f
1683155969,306,00:25:52:f2:20:70
1683155959,300,10:c6:fc:85:a9:6a
1683155917,264,94:b2:cc:7a:85:5f
1683155909,250,0e:14:4d:5c:a8:5d
1683155959,293,d0:c5:d3:5b:f4:cc
1683155965,298,90:f1:57:34:47:a9
1683155910,247,67:63:b9:fd:2b:96
1683155909,246,7b:15:24:2d:4b:7b
1683155942,277,4b:64:08:31:e7:79
1683155928,263,60:f1:aa:9c:cc:57
1683155941,276,3b:ba:8b:16:d2:4e
1683155903,235,55:30:25:5d:8c:fa
1683155902,234,5d:3a:33:46:ac:9f
1683155944,270,3d:8b:8b:fd:ea:b0
1683155933,241,42:05:1e:ab:94:b9
1683155978,247,46:58:4e:5e:be:7d
1683155976,242,63:e7:03:72:fe:40
1683155979,246,20:83:e9:fb:16:80
1683155974,241,f6:3b:02:fa:ea:10
1683155998,247,30:bb:7d:a2:ef:58
1683156100,301,6d:64:7b:c3:14:31
1683156099,304,00:25:ca:3f:4a:fa
1683156088,279,5b:13:91:73:a0:17
1683156078,274,b4:c2:6a:71:03:ee
1683156094,296,74:5e:1c:c8:96:84
1683156096,295,53:03:86:a0:64:77
1683156127,313,10:4e:89:7a:6d:76
1683156087,278,76:77:02:04:0f:36
1683156126,303,b4:c2:6a:ac:37:14
1683156092,272,50:fb:55:d7:e9:7b
1683156136,307,4d:4b:4b:20:b8:4e
1683156138,303,60:4b:69:cc:ee:70
1683156131,311,24:0a:c4:1b:92:82
1683156090,270,04:f9:d8:dd:16:75
1683156128,304,00:25:ca:29:95:10
1683156138,303,71:c4:db:47:1c:f5
1683156128,298,50:7b:ef:be:29:0c
1683156138,303,59:38:2c:a7:d9:32
1683156096,247,51:d6:68:34:a7:ba
1683156097,247,49:f2:7c:5b:5b:7d
1683156096,247,56:d0:de:6a:f2:95
1683156096,247,3f:2f:87:95:68:5b
1683156108,254,48:da:88:a2:bd:d7
1683156131,254,d4:bc:de:71:e2:4e
1683156107,232,4f:26:86:22:5e:cb
1683156107,228,5b:c9:af:18:2f:8c
1683156107,231,63:7e:d8:73:77:58
1683156107,228,71:19:74:35:5e:79
1683156131,254,3a:a4:cd:e6:2b:e8
1683156109,230,5f:f5:ec:46:a4:19
1683156131,252,62:a8:39:01:18:77
